,activity_id,assay_id,doc_id,record_id,molregno,standard_relation,standard_value,standard_units,standard_flag,standard_type,activity_comment,data_validity_comment,potential_duplicate,pchembl_value,bao_endpoint,uo_units,qudt_units,toid,upper_value,standard_upper_value,src_id,type,relation,value,units,text_value,standard_text_value,action_type,unit_scale,assay_tax_id,assay_organism,pK,standard_inchi_key
12,865739,50615,12070,222683,192829,,,nM,0,EC50,Not Determined,,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,,,uM,,,,1e-09,10310,Human alphaherpesvirus 2,,UKQCTYNFHYOXFG-XDNAFOTISA-N
13,876872,50615,12070,222667,194053,,,nM,0,EC50,Not Determined,,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,,,uM,,,,1e-09,10310,Human alphaherpesvirus 2,,MKVVTIURJHUNFY-VQHPVUNQSA-N
14,879360,50615,12070,222670,194099,,,nM,0,EC50,Not Determined,,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,,,uM,,,,1e-09,10310,Human alphaherpesvirus 2,,UKQCTYNFHYOXFG-TVFCKZIOSA-N
15,888005,50615,12070,222678,193036,,,nM,0,EC50,Not Determined,,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,,,uM,,,,1e-09,10310,Human alphaherpesvirus 2,,TVXQELYLFUZAPR-OKZBNKHCSA-N
16,900019,50615,12070,222687,192822,,,nM,0,EC50,Not Determined,,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,,,uM,,,,1e-09,10310,Human alphaherpesvirus 2,,XCMUPVIUNPZOLU-HNXVMGNBSA-N
17,634964,50622,6947,16281,1705650,=,85.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,85.0,%,,,,,10298,Human alphaherpesvirus 1,,SLFBHJZSKXPYCM-UHFFFAOYSA-N
18,639827,50622,6947,16277,550449,=,83.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,83.0,%,,,,,10298,Human alphaherpesvirus 1,,MBSBIYPFMUVCBT-UHFFFAOYSA-N
19,643710,50622,6947,16279,191193,=,78.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,78.0,%,,,,,10298,Human alphaherpesvirus 1,,SDRHUASONSRLFR-UHFFFAOYSA-N
20,645939,50622,6947,16278,550333,=,89.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,89.0,%,,,,,10298,Human alphaherpesvirus 1,,RERYXQJCHBPGAN-UHFFFAOYSA-N
21,659176,50622,6947,16275,543400,=,27.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,27.0,%,,,,,10298,Human alphaherpesvirus 1,,OAORVNZNYJLFGX-UHFFFAOYSA-N
22,666687,50622,6947,16276,550347,=,93.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,93.0,%,,,,,10298,Human alphaherpesvirus 1,,WMUFVOWESCBEEC-UHFFFAOYSA-N
23,669193,50622,6947,16280,543417,=,68.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,68.0,%,,,,,10298,Human alphaherpesvirus 1,,IKRXGGOQPXPEGU-UHFFFAOYSA-N
24,634965,50623,6947,16281,1705650,=,98.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,98.0,%,,,,,10298,Human alphaherpesvirus 1,,SLFBHJZSKXPYCM-UHFFFAOYSA-N
25,639828,50623,6947,16277,550449,=,96.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,96.0,%,,,,,10298,Human alphaherpesvirus 1,,MBSBIYPFMUVCBT-UHFFFAOYSA-N
26,643711,50623,6947,16279,191193,=,90.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,90.0,%,,,,,10298,Human alphaherpesvirus 1,,SDRHUASONSRLFR-UHFFFAOYSA-N
27,645940,50623,6947,16278,550333,=,99.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,99.0,%,,,,,10298,Human alphaherpesvirus 1,,RERYXQJCHBPGAN-UHFFFAOYSA-N
28,659177,50623,6947,16275,543400,=,28.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,28.0,%,,,,,10298,Human alphaherpesvirus 1,,OAORVNZNYJLFGX-UHFFFAOYSA-N
29,666688,50623,6947,16276,550347,=,94.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,94.0,%,,,,,10298,Human alphaherpesvirus 1,,WMUFVOWESCBEEC-UHFFFAOYSA-N
30,669194,50623,6947,16280,543417,=,79.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,79.0,%,,,,,10298,Human alphaherpesvirus 1,,IKRXGGOQPXPEGU-UHFFFAOYSA-N
31,634962,50624,6947,16281,1705650,=,20.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,20.0,%,,,,,10298,Human alphaherpesvirus 1,,SLFBHJZSKXPYCM-UHFFFAOYSA-N
32,639825,50624,6947,16277,550449,=,26.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,26.0,%,,,,,10298,Human alphaherpesvirus 1,,MBSBIYPFMUVCBT-UHFFFAOYSA-N
33,643708,50624,6947,16279,191193,=,30.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,30.0,%,,,,,10298,Human alphaherpesvirus 1,,SDRHUASONSRLFR-UHFFFAOYSA-N
34,645937,50624,6947,16278,550333,=,39.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,39.0,%,,,,,10298,Human alphaherpesvirus 1,,RERYXQJCHBPGAN-UHFFFAOYSA-N
35,659174,50624,6947,16275,543400,=,17.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,17.0,%,,,,,10298,Human alphaherpesvirus 1,,OAORVNZNYJLFGX-UHFFFAOYSA-N
36,666685,50624,6947,16276,550347,=,25.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,25.0,%,,,,,10298,Human alphaherpesvirus 1,,WMUFVOWESCBEEC-UHFFFAOYSA-N
37,669191,50624,6947,16280,543417,=,12.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,12.0,%,,,,,10298,Human alphaherpesvirus 1,,IKRXGGOQPXPEGU-UHFFFAOYSA-N
38,634966,50625,6947,16281,1705650,=,99.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,99.0,%,,,,,10298,Human alphaherpesvirus 1,,SLFBHJZSKXPYCM-UHFFFAOYSA-N
39,639829,50625,6947,16277,550449,=,97.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,97.0,%,,,,,10298,Human alphaherpesvirus 1,,MBSBIYPFMUVCBT-UHFFFAOYSA-N
40,643712,50625,6947,16279,191193,=,93.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,93.0,%,,,,,10298,Human alphaherpesvirus 1,,SDRHUASONSRLFR-UHFFFAOYSA-N
41,645941,50625,6947,16278,550333,=,99.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,99.0,%,,,,,10298,Human alphaherpesvirus 1,,RERYXQJCHBPGAN-UHFFFAOYSA-N
42,659178,50625,6947,16275,543400,=,67.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,67.0,%,,,,,10298,Human alphaherpesvirus 1,,OAORVNZNYJLFGX-UHFFFAOYSA-N
43,666689,50625,6947,16276,550347,=,99.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,99.0,%,,,,,10298,Human alphaherpesvirus 1,,WMUFVOWESCBEEC-UHFFFAOYSA-N
44,669195,50625,6947,16280,543417,=,91.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,91.0,%,,,,,10298,Human alphaherpesvirus 1,,IKRXGGOQPXPEGU-UHFFFAOYSA-N
45,634963,50626,6947,16281,1705650,=,62.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,62.0,%,,,,,10298,Human alphaherpesvirus 1,,SLFBHJZSKXPYCM-UHFFFAOYSA-N
46,639826,50626,6947,16277,550449,=,59.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,59.0,%,,,,,10298,Human alphaherpesvirus 1,,MBSBIYPFMUVCBT-UHFFFAOYSA-N
47,643709,50626,6947,16279,191193,=,61.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,61.0,%,,,,,10298,Human alphaherpesvirus 1,,SDRHUASONSRLFR-UHFFFAOYSA-N
48,645938,50626,6947,16278,550333,=,83.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,83.0,%,,,,,10298,Human alphaherpesvirus 1,,RERYXQJCHBPGAN-UHFFFAOYSA-N
49,659175,50626,6947,16275,543400,=,10.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,10.0,%,,,,,10298,Human alphaherpesvirus 1,,OAORVNZNYJLFGX-UHFFFAOYSA-N
50,666686,50626,6947,16276,550347,=,64.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,64.0,%,,,,,10298,Human alphaherpesvirus 1,,WMUFVOWESCBEEC-UHFFFAOYSA-N
51,669192,50626,6947,16280,543417,=,35.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,35.0,%,,,,,10298,Human alphaherpesvirus 1,,IKRXGGOQPXPEGU-UHFFFAOYSA-N
52,1107924,50630,7904,166207,147451,=,,nM,0,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,,uM,,,,1e-09,10298,Human alphaherpesvirus 1,,DULOPIOHIVOMNX-UHFFFAOYSA-N
53,1139356,50630,7904,166214,147157,=,,nM,0,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,,uM,,,,1e-09,10298,Human alphaherpesvirus 1,,NYQLYXYJZLCAKC-UHFFFAOYSA-L
54,865738,50813,12070,222683,192829,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,inf,UKQCTYNFHYOXFG-XDNAFOTISA-N
55,872097,50813,12070,222671,193828,=,3000.0,nM,1,EC50,,,0,5.52,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,3.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,5.522878745280337,AXPUHVPSXZMXCG-GBESFXJTSA-N
56,875545,50813,12070,222669,194098,=,3000.0,nM,1,EC50,,,0,5.52,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,3.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,5.522878745280337,OUOIOYFLGHKBIG-MISYRCLQSA-N
57,876871,50813,12070,222667,194053,=,8000.0,nM,1,EC50,,,0,5.1,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,8.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,5.096910013008056,MKVVTIURJHUNFY-VQHPVUNQSA-N
58,876932,50813,12070,222686,192964,=,1000.0,nM,1,EC50,,,0,6.0,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,1.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,6.0,UVOFCPMSDXAVBD-BRWVUGGUSA-N
59,879359,50813,12070,222670,194099,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,inf,UKQCTYNFHYOXFG-TVFCKZIOSA-N
60,884242,50813,12070,222679,193399,=,5000.0,nM,1,EC50,,,0,5.3,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,5.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,5.301029995663981,LDRLROQHPVGVQE-KBAYOESNSA-N
61,885553,50813,12070,222680,39198,=,2000.0,nM,1,EC50,,,0,5.7,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,2.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,5.698970004336019,NOFOAYPPHIUXJR-APNQCZIXSA-N
62,888004,50813,12070,222678,193036,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,inf,TVXQELYLFUZAPR-OKZBNKHCSA-N
63,891728,50813,12070,222689,192851,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,inf,GNUGHFZPWKBIBQ-KBAYOESNSA-N
64,895085,50813,12070,222684,192832,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,inf,NJGVQZYMPBBZCL-MISYRCLQSA-N
65,897460,50813,12070,222682,193345,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,inf,MKVVTIURJHUNFY-TWMKSMIVSA-N
66,898666,50813,12070,222668,193830,=,4000.0,nM,1,EC50,,,0,5.4,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,4.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,5.3979400086720375,OVWWJPDVMIKQJH-TVFCKZIOSA-N
67,898722,50813,12070,222685,193258,=,4000.0,nM,1,EC50,,,0,5.4,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,4.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,5.3979400086720375,WEGOBZDECLEAOK-KBAYOESNSA-N
68,901142,50813,12070,222681,193400,=,7000.0,nM,1,EC50,,,0,5.16,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,7.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,5.154901959985743,OVWWJPDVMIKQJH-XDNAFOTISA-N
69,901175,50813,12070,222688,192848,=,0.0,nM,1,EC50,,Outside typical range,0,,BAO_0000188,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,EC50,=,0.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,inf,MLZDDBJEUQFMCL-BHIYHBOVSA-N
70,348845,81442,12863,89057,79814,=,13000.0,nM,1,IC50,,,0,4.89,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,13.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,4.886056647693163,QUQWBNJQTLWIEB-UHFFFAOYSA-N
71,360173,81442,12863,89051,80262,=,8700.0,nM,1,IC50,,,0,5.06,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,8.7,uM,,,,1e-09,10298,Human alphaherpesvirus 1,5.060480747381382,IPNLIYUZWFQPKO-UHFFFAOYSA-N
72,348843,81580,12863,89057,79814,=,850.0,nM,1,IC50,,,0,6.07,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.85,uM,,,,1e-09,10298,Human alphaherpesvirus 1,6.070581074285707,QUQWBNJQTLWIEB-UHFFFAOYSA-N
73,355985,81580,12863,89061,79452,=,880.0,nM,1,IC50,,,0,6.06,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.88,uM,,,,1e-09,10298,Human alphaherpesvirus 1,6.055517327849832,RZBANNTZMKJFNR-UHFFFAOYSA-N
74,357446,81580,12863,89053,79633,>,2000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,2.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,5.698970004336019,IRWJPIBTQVBJSA-UHFFFAOYSA-N
75,361403,81580,12863,89052,80202,=,770.0,nM,1,IC50,,,0,6.11,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.77,uM,,,,1e-09,10298,Human alphaherpesvirus 1,6.113509274827518,RRVGSKJQAFDHMO-UHFFFAOYSA-N
76,368664,81580,12863,89056,80219,>,2000.0,nM,1,IC50,,,0,,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,>,2.0,uM,,,,1e-09,10298,Human alphaherpesvirus 1,5.698970004336019,LIRVMDIXHXAYMS-UHFFFAOYSA-N
77,371468,81580,12863,89059,80333,=,910.0,nM,1,IC50,,,0,6.04,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.91,uM,,,,1e-09,10298,Human alphaherpesvirus 1,6.040958607678906,XABJVTMOEMSJFI-UHFFFAOYSA-N
78,374340,81580,12863,89054,79776,=,920.0,nM,1,IC50,,,0,6.04,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.92,uM,,,,1e-09,10298,Human alphaherpesvirus 1,6.036212172654444,QAYWNNKVCPTPMF-UHFFFAOYSA-N
79,379946,81580,12863,89055,79724,=,850.0,nM,1,IC50,,,0,6.07,BAO_0000190,UO_0000065,http://www.openphacts.org/units/Nanomolar,,,,1,IC50,=,0.85,uM,,,,1e-09,10298,Human alphaherpesvirus 1,6.070581074285707,SQFJVHBOGMKABU-UHFFFAOYSA-N
80,348844,81581,12863,89057,79814,=,94.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,94.0,%,,,,,10298,Human alphaherpesvirus 1,,QUQWBNJQTLWIEB-UHFFFAOYSA-N
81,357447,81581,12863,89053,79633,=,46.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,46.0,%,,,,,10298,Human alphaherpesvirus 1,,IRWJPIBTQVBJSA-UHFFFAOYSA-N
82,360172,81581,12863,89051,80262,=,98.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,98.0,%,,,,,10298,Human alphaherpesvirus 1,,IPNLIYUZWFQPKO-UHFFFAOYSA-N
83,361404,81581,12863,89052,80202,=,34.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,34.0,%,,,,,10298,Human alphaherpesvirus 1,,RRVGSKJQAFDHMO-UHFFFAOYSA-N
84,368665,81581,12863,89056,80219,=,30.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,30.0,%,,,,,10298,Human alphaherpesvirus 1,,LIRVMDIXHXAYMS-UHFFFAOYSA-N
85,374341,81581,12863,89054,79776,=,93.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,93.0,%,,,,,10298,Human alphaherpesvirus 1,,QAYWNNKVCPTPMF-UHFFFAOYSA-N
86,378526,81581,12863,89050,80221,=,92.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,92.0,%,,,,,10298,Human alphaherpesvirus 1,,AUVRWTGJPUZAMO-UHFFFAOYSA-N
87,379947,81581,12863,89055,79724,=,44.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,44.0,%,,,,,10298,Human alphaherpesvirus 1,,SQFJVHBOGMKABU-UHFFFAOYSA-N
88,348842,81583,12863,89062,430599,=,13.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,13.0,%,,,,,10299,Human alphaherpesvirus 1 strain 17,,IOWPKEYIXBBDOQ-UHFFFAOYSA-N
89,352953,81583,12863,89034,52868,=,0.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,0.0,%,,,,,10299,Human alphaherpesvirus 1 strain 17,,JDCULXHGRMPCAM-UHFFFAOYSA-N
90,355984,81583,12863,89061,79452,=,98.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,98.0,%,,,,,10299,Human alphaherpesvirus 1 strain 17,,RZBANNTZMKJFNR-UHFFFAOYSA-N
91,357445,81583,12863,89036,80842,=,5.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,5.0,%,,,,,10299,Human alphaherpesvirus 1 strain 17,,PMAXALSSLOGZST-UHFFFAOYSA-N
92,362746,81583,12863,89063,81256,=,60.0,%,1,Inhibition,,,0,,BAO_0000201,UO_0000187,http://qudt.org/vocab/unit#Percent,,,,1,Inhibition,=,60.0,%,,,,,10299,Human alphaherpesvirus 1 strain 17,,GZSSIAWYAPMXAK-UHFFFAOYSA-N
